ID,Meal,Restaurant,Type,Snack,Cal,P,C,F,Sugar,Fibre,Price (£),Vegan,Veg,Discount Price,,,,,,,,,,,
1,Kimchi Chicken Pure Bowl,Pure,Lunch / Dinner,n,580,31.5,80.5,14,13.5,3.4,9.3,0,0,,,,,,,,,,,,
2,Mediterranean Chicken Pure Bowl,Pure,Lunch / Dinner,n,608,28.5,70.4,23.6,8.7,3.4,9.3,0,0,,,,,,,,,,,,
3,High Protein Chilli Pure Bowl,Pure,Lunch / Dinner,n,792,29.2,98.8,27.8,7.4,15.2,9.3,0,0,,,,,,,,,,,,
4,Thai Red Chicken Pure Bowl,Pure,Lunch / Dinner,n,641,30.6,89.9,17.2,21,11.2,9.3,0,0,,,,,,,,,,,,
5,Sweer Potato & Chickpea Pure Bowl,Pure,Lunch / Dinner,n,490,10.5,84.7,11.9,14.8,8.1,9.3,1,1,,,,,,,,,,,,
6,Falafel & Hummus salad,Pure,Lunch / Dinner,n,540,10.8,29.9,41.2,13.7,9.7,8.4,1,1,,,,,,,,,,,,
7,Halloumi & Pomegranate salad,Pure,Lunch / Dinner,n,516,15.5,11,43.3,7.4,5.9,8.95,0,1,,,,,,,,,,,,
8,Celebrity Skin salad,Pure,Lunch / Dinner,n,543,24.5,10.5,44.2,6.5,4.3,8.85,0,0,,,,,,,,,,,,
9,Cauli Willoughby salad,Pure,Lunch / Dinner,n,485,14.1,43.6,28,6.9,9.3,6.55,1,1,,,,,,,,,,,,
10,salmon Lovin salad,Pure,Lunch / Dinner,n,383,21.1,38.1,16.7,3.2,5.6,7.2,0,0,,,,,,,,,,,,
11,The Last Tunacorn Wrap,Pure,Lunch / Dinner,n,544,22.7,52.3,25.8,3.2,6.5,5.1,0,0,,,,,,,,,,,,
12,Satay Away Wrap,Pure,Lunch / Dinner,n,553,29.3,57.6,20.6,10,4.9,5.4,0,0,,,,,,,,,,,,
13,Ariba Fajita Wrap,Pure,Lunch / Dinner,n,590,23.9,59.7,26.8,6.4,7.6,4.8,0,0,,,,,,,,,,,,
14,Falafalo Soldier Wrap,Pure,Lunch / Dinner,n,677,16.2,68.8,35.9,12.3,13.6,5.4,1,1,,,,,,,,,,,,
15,Hail Caesar Wrap,Pure,Lunch / Dinner,n,598,34.9,52.2,26.7,1.6,5.8,5.4,0,0,,,,,,,,,,,,
16,So Cluckin Good Wrap,Pure,Lunch / Dinner,n,558,28.5,49.8,25.9,5.2,6.3,5.7,0,0,,,,,,,,,,,,
17,Chicken & Bacon Caesar Salad,Pure,Lunch / Dinner,n,437,28.3,13,30.3,2.8,2.4,6,0,0,,,,,,,,,,,,
18,The Mexican salad,Pure,Lunch / Dinner,n,647,30.5,41,39.3,11.3,9.7,6,0,0,,,,,,,,,,,,
19,Chicken Picante Toastie,Pure,Lunch / Dinner,n,584,30.3,56.4,25.3,6.5,8,6.55,0,0,,,,,,,,,,,,
20,Halloumi Toastie,Pure,Lunch / Dinner,n,574,19.9,58.5,26.1,10.3,8.3,6.75,0,1,,,,,,,,,,,,
21,Free Range Chicken Bites,Pure,Lunch / Dinner,n,466,22.1,47.5,20.8,6.6,0,5.6,0,0,,,,,,,,,,,,
22,Pear-biotic,Pure,Breakfast,n,274,7.7,28.9,13.6,20.2,2.3,3,0,1,,,,,,,,,,,,
23,Banana & Honey Yoghurt,Pure,Breakfast,n,328,8.3,41.4,13.5,31.1,2.4,3.3,0,1,,,,,,,,,,,,
24,Good Morning Yoghurt,Pure,Breakfast,n,258,3.7,21.7,16.2,10,2.8,3.9,1,1,,,,,,,,,,,,
25,Blueberry Bircher,Pure,Breakfast,n,375,9.4,60.7,6.4,7.9,6.8,3.55,1,1,,,,,,,,,,,,
26,Energy Crunch Bircher,Pure,Breakfast,n,495,14,67.6,13.8,16.3,8.5,3.55,1,1,,,,,,,,,,,,
27,"Cacao, Almond & Ginger Powerball",Pure,,y,146,5.6,19.2,5.2,17.6,1.6,2.7,0,1,,,,,,,,,,,,
28,"Apple, Raisin and Cinnamon Oat Bar deliciously Ella",Pure,,y,213,2.8,29.7,8.7,14.5,2.5,2.25,1,1,,,,,,,,,,,,
29,Peanut Butter Oat Bar deliciously Ella,Pure,,y,230,5.1,25,11.8,10.6,2.5,2.25,1,1,,,,,,,,,,,,
30,Pip & nut Dark Cholocate Almond Butter Cups,Pure,,y,204,3.8,10.3,15.8,8.9,2.3,2.7,1,1,,,,,,,,,,,,
31,Bacon & Egg Toastie,Pure,Breakfast,n,603,22.3,53.1,32.4,9.1,5.3,4.75,0,0,,,,,,,,,,,,
32,Smoked Salmon Toastie,Pure,Breakfast,n,523,21.3,44.4,28.1,1.4,5.4,4.8,0,0,,,,,,,,,,,,
33,Halloumi & Avocado Toastie,Pure,Breakfast,n,403,11.7,36.9,22.7,3.6,4.2,4.65,0,1,,,,,,,,,,,,
34,Vegan Breakfast Toastie,Pure,Breakfast,n,293,6.7,37.5,13.2,3.9,4.7,4.35,1,1,,,,,,,,,,,,
35,Super Eggs,Pure,Breakfast,n,144,21.1,1.4,19.4,0.7,0.4,4.6,0,1,,,,,,,,,,,,
36,Super Eggs w/ Salmon,Pure,Breakfast,n,296,26.5,1.2,20.9,0.5,0.9,6.4,0,0,,,,,,,,,,,,
37,bacon & avocado rolled omelette,Pure,Breakfast,n,379,17,5.7,32,1.6,1.2,5.65,0,0,,,,,,,,,,,,
38,banana & Honey Porridge,Pure,Breakfast,n,290,5.7,53.7,3.5,23.7,4.7,3.85,0,1,,,,,,,,,,,,
39,Pure & Pip Porridge,Pure,Breakfast,n,320,10.4,36.5,12.1,6.4,5.6,4.4,1,1,,,,,,,,,,,,
40,Pure Porridge,Pure,Breakfast,n,189,5.3,30.7,3.4,2.5,4.3,3.1,1,1,,,,,,,,,,,,
41,Scrambled Eggs,Abokado,Breakfast,n,320,27.6,0,23.2,0,0,,,,,,,,,,,,,,,
42,Scrambled Eggs & Avo,Abokado,Breakfast,n,249.3,17,0,5.4,0,1.4,,,,,,,,,,,,,,,
43,Bagel - Avo & Bacon,Abokado,Breakfast,n,527,20.2,54.7,23.4,6.8,11.4,,,,,,,,,,,,,,,
44,Bagel - Avo & Cream Cheese,Abokado,Breakfast,n,450,13.4,43.5,23.7,6.5,8.8,,,,,,,,,,,,,,,
45,Bagel - Avo & Vegan Bacon,Abokado,Breakfast,n,446,18.8,53.3,15.8,6.6,10.6,,,,,,,,,,,,,,,
46,Bagel - Bacon & Egg,Abokado,Breakfast,n,44.6,24.6,54.2,25.4,6.8,9.1,,,,,,,,,,,,,,,
47,Bagel - Buttered,Abokado,Breakfast,n,392.3,13.5,53.7,11.8,6.6,9.1,,,,,,,,,,,,,,,
48,Bagel - Cream Cheese,Abokado,Breakfast,n,487.3,16.5,55.5,20.8,8.2,9.1,,,,,,,,,,,,,,,
49,Bagel - Egg,Abokado,Breakfast,n,476.3,18.7,54.2,18.6,6.8,9.1,,,,,,,,,,,,,,,
50,Bagel - Marmite,Abokado,Breakfast,n,405.3,15.2,55.2,11.8,6.6,9.1,,,,,,,,,,,,,,,
51,Bagel - Peanut Butter,Abokado,Breakfast,n,469.7,18.9,56.3,16.6,7.4,9.1,,,,,,,,,,,,,,,
