ID,Meal,Restaurant,Type,Snack,Cal,P,C,F,Sugar,Fibre,Price,Vegan,Veg,Discount Price
528,Chicken Butterfly + Chips + Macho Peas,Nandos,Lunch / Dinner,n,923,73.4,83.2,35.1,,15.5,14.15,,,
529,Chicken Butterfly + Chips + Long Stem Broccoli,Nandos,Lunch / Dinner,n,814,67.4,69.2,31.1,,8.5,14.15,,,
530,Chicken Butterfly + Chips + Garlic Bread,Nandos,Lunch / Dinner,n,1144,72.4,113.2,45.1,,8.5,14.15,,,
531,Chicken Butterfly + Chips + Coleslaw,Nandos,Lunch / Dinner,n,1022,67.4,77.2,47.1,,8.5,14.15,,,
532,Chicken Butterfly + Chips + Spicy Rice,Nandos,Lunch / Dinner,n,979,69.4,98.2,33.1,,11.5,14.15,,,
533,Chicken Butterfly + Chips + Corn on the Cob,Nandos,Lunch / Dinner,n,926,71.4,87.2,32.1,,11.5,14.15,,,
534,Chicken Butterfly + Chips + Mixed Leaf Salad,Nandos,Lunch / Dinner,n,795,66.4,67.2,29.1,,7.5,14.15,,,
535,Chicken Butterfly + Chips + Spiced Grains & butternut Squash,Nandos,Lunch / Dinner,n,877,68.4,75.3,33,,10.1,14.15,,,
536,Chicken Butterfly + Chips + Rainbow Slaw,Nandos,Lunch / Dinner,n,881,67.3,76.5,34.9,,8.9,14.15,,,
537,Chicken Butterfly + Macho Peas + Macho Peas,Nandos,Lunch / Dinner,n,614,75.4,36.2,22.1,,19.5,14.15,,,
538,Chicken Butterfly + Macho Peas + Long Stem Broccoli,Nandos,Lunch / Dinner,n,505,69.4,22.2,18.1,,12.5,14.15,,,
539,Chicken Butterfly + Macho Peas + Garlic Bread,Nandos,Lunch / Dinner,n,835,74.4,66.2,32.1,,12.5,14.15,,,
540,Chicken Butterfly + Macho Peas + Coleslaw,Nandos,Lunch / Dinner,n,713,69.4,30.2,34.1,,12.5,14.15,,,
541,Chicken Butterfly + Macho Peas + Spicy Rice,Nandos,Lunch / Dinner,n,670,71.4,51.2,20.1,,15.5,14.15,,,
542,Chicken Butterfly + Macho Peas + Corn on the Cob,Nandos,Lunch / Dinner,n,617,73.4,40.2,19.1,,15.5,14.15,,,
543,Chicken Butterfly + Macho Peas + Mixed Leaf Salad,Nandos,Lunch / Dinner,n,486,68.4,20.2,16.1,,11.5,14.15,,,
544,Chicken Butterfly + Macho Peas + Spiced Grains & butternut Squash,Nandos,Lunch / Dinner,n,568,70.4,28.3,20,,14.1,14.15,,,
545,Chicken Butterfly + Macho Peas + Rainbow Slaw,Nandos,Lunch / Dinner,n,572,69.3,29.5,21.9,,12.9,14.15,,,
546,Chicken Butterfly + Long Stem Broccoli + Long Stem Broccoli,Nandos,Lunch / Dinner,n,396,63.4,8.2,14.1,,5.5,14.15,,,
547,Chicken Butterfly + Long Stem Broccoli + Garlic Bread,Nandos,Lunch / Dinner,n,726,68.4,52.2,28.1,,5.5,14.15,,,
548,Chicken Butterfly + Long Stem Broccoli + Coleslaw,Nandos,Lunch / Dinner,n,604,63.4,16.2,30.1,,5.5,14.15,,,
549,Chicken Butterfly + Long Stem Broccoli + Spicy Rice,Nandos,Lunch / Dinner,n,561,65.4,37.2,16.1,,8.5,14.15,,,
550,Chicken Butterfly + Long Stem Broccoli + Corn on the Cob,Nandos,Lunch / Dinner,n,508,67.4,26.2,15.1,,8.5,14.15,,,
551,Chicken Butterfly + Long Stem Broccoli + Mixed Leaf Salad,Nandos,Lunch / Dinner,n,377,62.4,6.2,12.1,,4.5,14.15,,,
552,Chicken Butterfly + Long Stem Broccoli + Spiced Grains & butternut Squash,Nandos,Lunch / Dinner,n,459,64.4,14.3,16,,7.1,14.15,,,
553,Chicken Butterfly + Long Stem Broccoli + Rainbow Slaw,Nandos,Lunch / Dinner,n,463,63.3,15.5,17.9,,5.9,14.15,,,
554,Chicken Butterfly + Garlic Bread + Garlic Bread,Nandos,Lunch / Dinner,n,1056,73.4,96.2,42.1,,5.5,14.15,,,
555,Chicken Butterfly + Garlic Bread + Coleslaw,Nandos,Lunch / Dinner,n,934,68.4,60.2,44.1,,5.5,14.15,,,
556,Chicken Butterfly + Garlic Bread + Spicy Rice,Nandos,Lunch / Dinner,n,891,70.4,81.2,30.1,,8.5,14.15,,,
557,Chicken Butterfly + Garlic Bread + Corn on the Cob,Nandos,Lunch / Dinner,n,838,72.4,70.2,29.1,,8.5,14.15,,,
558,Chicken Butterfly + Garlic Bread + Mixed Leaf Salad,Nandos,Lunch / Dinner,n,707,67.4,50.2,26.1,,4.5,14.15,,,
559,Chicken Butterfly + Garlic Bread + Spiced Grains & butternut Squash,Nandos,Lunch / Dinner,n,789,69.4,58.3,30,,7.1,14.15,,,
560,Chicken Butterfly + Garlic Bread + Rainbow Slaw,Nandos,Lunch / Dinner,n,793,68.3,59.5,31.9,,5.9,14.15,,,
561,Chicken Butterfly + Coleslaw + Coleslaw,Nandos,Lunch / Dinner,n,812,63.4,24.2,46.1,,5.5,14.15,,,
562,Chicken Butterfly + Coleslaw + Spicy Rice,Nandos,Lunch / Dinner,n,769,65.4,45.2,32.1,,8.5,14.15,,,
563,Chicken Butterfly + Coleslaw + Corn on the Cob,Nandos,Lunch / Dinner,n,716,67.4,34.2,31.1,,8.5,14.15,,,
564,Chicken Butterfly + Coleslaw + Mixed Leaf Salad,Nandos,Lunch / Dinner,n,585,62.4,14.2,28.1,,4.5,14.15,,,
565,Chicken Butterfly + Coleslaw + Spiced Grains & butternut Squash,Nandos,Lunch / Dinner,n,667,64.4,22.3,32,,7.1,14.15,,,
566,Chicken Butterfly + Coleslaw + Rainbow Slaw,Nandos,Lunch / Dinner,n,671,63.3,23.5,33.9,,5.9,14.15,,,
567,Chicken Butterfly + Spicy Rice + Spicy Rice,Nandos,Lunch / Dinner,n,726,67.4,66.2,18.1,,11.5,14.15,,,
568,Chicken Butterfly + Spicy Rice + Corn on the Cob,Nandos,Lunch / Dinner,n,673,69.4,55.2,17.1,,11.5,14.15,,,
569,Chicken Butterfly + Spicy Rice + Mixed Leaf Salad,Nandos,Lunch / Dinner,n,542,64.4,35.2,14.1,,7.5,14.15,,,
570,Chicken Butterfly + Spicy Rice + Spiced Grains & butternut Squash,Nandos,Lunch / Dinner,n,624,66.4,43.3,18,,10.1,14.15,,,
571,Chicken Butterfly + Spicy Rice + Rainbow Slaw,Nandos,Lunch / Dinner,n,628,65.3,44.5,19.9,,8.9,14.15,,,
572,Chicken Butterfly + Corn on the Cob + Corn on the Cob,Nandos,Lunch / Dinner,n,620,71.4,44.2,16.1,,11.5,14.15,,,
573,Chicken Butterfly + Corn on the Cob + Mixed Leaf Salad,Nandos,Lunch / Dinner,n,489,66.4,24.2,13.1,,7.5,14.15,,,
574,Chicken Butterfly + Corn on the Cob + Spiced Grains & butternut Squash,Nandos,Lunch / Dinner,n,571,68.4,32.3,17,,10.1,14.15,,,
575,Chicken Butterfly + Corn on the Cob + Rainbow Slaw,Nandos,Lunch / Dinner,n,575,67.3,33.5,18.9,,8.9,14.15,,,
576,Chicken Butterfly + Mixed Leaf Salad + Mixed Leaf Salad,Nandos,Lunch / Dinner,n,358,61.4,4.2,10.1,,3.5,14.15,,,
577,Chicken Butterfly + Mixed Leaf Salad + Spiced Grains & butternut Squash,Nandos,Lunch / Dinner,n,440,63.4,12.3,14,,6.1,14.15,,,
578,Chicken Butterfly + Mixed Leaf Salad + Rainbow Slaw,Nandos,Lunch / Dinner,n,444,62.3,13.5,15.9,,4.9,14.15,,,
579,Chicken Butterfly + Spiced Grains & butternut Squash + Spiced Grains & butternut Squash,Nandos,Lunch / Dinner,n,522,65.4,20.4,17.9,,8.7,14.15,,,
580,Chicken Butterfly + Spiced Grains & butternut Squash + Rainbow Slaw,Nandos,Lunch / Dinner,n,526,64.3,21.6,19.8,,7.5,14.15,,,
581,Chicken Butterfly + Rainbow Slaw + Rainbow Slaw,Nandos,Lunch / Dinner,n,530,63.2,22.8,21.7,,6.3,14.15,,,
582,1/2 Chicken,Nandos,Lunch / Dinner,n,568,80,1,27,,1,7.95,,,
583,4 boneless chicken,Nandos,Lunch / Dinner,n,706,86,0,37,,1,8.25,,,
584,Whole chicken,Nandos,Lunch / Dinner,n,1136,160,1,54,,1,14.5,,,
585,1/4 Chicken,Nandos,Lunch / Dinner,n,284,40,0,14,,1,4.25,,,
586,1/4 Chicken + Creamy Mash,Nandos,Lunch / Dinner,n,560,43,33,29,,3,7.2,,,
587,1/4 Chicken + Peri-salted Chips,Nandos,Lunch / Dinner,n,736,46,65,33,,6,7.2,,,
588,1/4 Chicken + Chips,Nandos,Lunch / Dinner,n,734,46,65,33,,6,7.2,,,
589,1/4 Chicken + Macho Peas,Nandos,Lunch / Dinner,n,425,48,18,20,,10,7.2,,,
590,1/4 Chicken + Long Stem Broccoli,Nandos,Lunch / Dinner,n,316,42,4,16,,3,7.2,,,
591,1/4 Chicken + Garlic Bread,Nandos,Lunch / Dinner,n,646,47,48,30,,3,7.2,,,
592,1/4 Chicken + Coleslaw,Nandos,Lunch / Dinner,n,524,42,12,32,,3,7.2,,,
593,1/4 Chicken + Spicy Rice,Nandos,Lunch / Dinner,n,481,44,33,18,,6,7.2,,,
594,1/4 Chicken + Corn on the Cob,Nandos,Lunch / Dinner,n,428,46,22,17,,6,7.2,,,
595,1/4 Chicken + Mixed Leaf Salad,Nandos,Lunch / Dinner,n,297,41,2,14,,2,7.2,,,
596,1/4 Chicken + Spiced Grains & butternut Squash,Nandos,Lunch / Dinner,n,379,43,10.1,17.9,,4.6,7.2,,,
597,1/4 Chicken + Rainbow Slaw,Nandos,Lunch / Dinner,n,383,41.9,11.3,19.8,,3.4,7.2,,,
598,1/4 Chicken + Creamy Mash + Creamy Mash,Nandos,Lunch / Dinner,n,836,46,66,44,,5,10.15,,,
599,1/4 Chicken + Creamy Mash + Peri-salted Chips,Nandos,Lunch / Dinner,n,1012,49,98,48,,8,10.15,,,
600,1/4 Chicken + Creamy Mash + Chips,Nandos,Lunch / Dinner,n,1010,49,98,48,,8,10.15,,,
601,1/4 Chicken + Creamy Mash + Macho Peas,Nandos,Lunch / Dinner,n,701,51,51,35,,12,10.15,,,
602,1/4 Chicken + Creamy Mash + Long Stem Broccoli,Nandos,Lunch / Dinner,n,592,45,37,31,,5,10.15,,,
603,1/4 Chicken + Creamy Mash + Garlic Bread,Nandos,Lunch / Dinner,n,922,50,81,45,,5,10.15,,,
604,1/4 Chicken + Creamy Mash + Coleslaw,Nandos,Lunch / Dinner,n,800,45,45,47,,5,10.15,,,
605,1/4 Chicken + Creamy Mash + Spicy Rice,Nandos,Lunch / Dinner,n,757,47,66,33,,8,10.15,,,
606,1/4 Chicken + Creamy Mash + Corn on the Cob,Nandos,Lunch / Dinner,n,704,49,55,32,,8,10.15,,,
607,1/4 Chicken + Creamy Mash + Mixed Leaf Salad,Nandos,Lunch / Dinner,n,573,44,35,29,,4,10.15,,,
608,1/4 Chicken + Creamy Mash + Spiced Grains & butternut Squash,Nandos,Lunch / Dinner,n,655,46,43.1,32.9,,6.6,10.15,,,
609,1/4 Chicken + Creamy Mash + Rainbow Slaw,Nandos,Lunch / Dinner,n,659,44.9,44.3,34.8,,5.4,10.15,,,
610,1/4 Chicken + Peri-salted Chips + Peri-salted Chips,Nandos,Lunch / Dinner,n,1188,52,130,52,,11,10.15,,,
611,1/4 Chicken + Peri-salted Chips + Chips,Nandos,Lunch / Dinner,n,1186,52,130,52,,11,10.15,,,
612,1/4 Chicken + Peri-salted Chips + Macho Peas,Nandos,Lunch / Dinner,n,877,54,83,39,,15,10.15,,,
613,1/4 Chicken + Peri-salted Chips + Long Stem Broccoli,Nandos,Lunch / Dinner,n,768,48,69,35,,8,10.15,,,
614,1/4 Chicken + Peri-salted Chips + Garlic Bread,Nandos,Lunch / Dinner,n,1098,53,113,49,,8,10.15,,,
615,1/4 Chicken + Peri-salted Chips + Coleslaw,Nandos,Lunch / Dinner,n,976,48,77,51,,8,10.15,,,
616,1/4 Chicken + Peri-salted Chips + Spicy Rice,Nandos,Lunch / Dinner,n,933,50,98,37,,11,10.15,,,
617,1/4 Chicken + Peri-salted Chips + Corn on the Cob,Nandos,Lunch / Dinner,n,880,52,87,36,,11,10.15,,,
618,1/4 Chicken + Peri-salted Chips + Mixed Leaf Salad,Nandos,Lunch / Dinner,n,749,47,67,33,,7,10.15,,,
619,1/4 Chicken + Peri-salted Chips + Spiced Grains & butternut Squash,Nandos,Lunch / Dinner,n,831,49,75.1,36.9,,9.6,10.15,,,
620,1/4 Chicken + Peri-salted Chips + Rainbow Slaw,Nandos,Lunch / Dinner,n,835,47.9,76.3,38.8,,8.4,10.15,,,
621,1/4 Chicken + Chips + Creamy Mash,Nandos,Lunch / Dinner,n,1010,49,98,48,,8,10.15,,,
622,1/4 Chicken + Chips + Peri-salted Chips,Nandos,Lunch / Dinner,n,1186,52,130,52,,11,10.15,,,
623,1/4 Chicken + Chips + Chips,Nandos,Lunch / Dinner,n,1184,52,130,52,,11,10.15,,,
624,1/4 Chicken + Chips + Macho Peas,Nandos,Lunch / Dinner,n,875,54,83,39,,15,10.15,,,
625,1/4 Chicken + Chips + Long Stem Broccoli,Nandos,Lunch / Dinner,n,766,48,69,35,,8,10.15,,,
626,1/4 Chicken + Chips + Garlic Bread,Nandos,Lunch / Dinner,n,1096,53,113,49,,8,10.15,,,
627,1/4 Chicken + Chips + Coleslaw,Nandos,Lunch / Dinner,n,974,48,77,51,,8,10.15,,,
628,1/4 Chicken + Chips + Spicy Rice,Nandos,Lunch / Dinner,n,931,50,98,37,,11,10.15,,,
629,1/4 Chicken + Chips + Corn on the Cob,Nandos,Lunch / Dinner,n,878,52,87,36,,11,10.15,,,
630,1/4 Chicken + Chips + Mixed Leaf Salad,Nandos,Lunch / Dinner,n,747,47,67,33,,7,10.15,,,
631,1/4 Chicken + Chips + Spiced Grains & butternut Squash,Nandos,Lunch / Dinner,n,829,49,75.1,36.9,,9.6,10.15,,,
632,1/4 Chicken + Chips + Rainbow Slaw,Nandos,Lunch / Dinner,n,833,47.9,76.3,38.8,,8.4,10.15,,,
633,1/4 Chicken + Long Stem Broccoli + Long Stem Broccoli,Nandos,Lunch / Dinner,n,348,44,8,18,,5,10.15,,,
634,1/4 Chicken + Long Stem Broccoli + Garlic Bread,Nandos,Lunch / Dinner,n,678,49,52,32,,5,10.15,,,
635,1/4 Chicken + Long Stem Broccoli + Coleslaw,Nandos,Lunch / Dinner,n,556,44,16,34,,5,10.15,,,
636,1/4 Chicken + Long Stem Broccoli + Spicy Rice,Nandos,Lunch / Dinner,n,513,46,37,20,,8,10.15,,,
637,1/4 Chicken + Long Stem Broccoli + Corn on the Cob,Nandos,Lunch / Dinner,n,460,48,26,19,,8,10.15,,,
638,1/4 Chicken + Long Stem Broccoli + Mixed Leaf Salad,Nandos,Lunch / Dinner,n,329,43,6,16,,4,10.15,,,
639,1/4 Chicken + Long Stem Broccoli + Spiced Grains & butternut Squash,Nandos,Lunch / Dinner,n,411,45,14.1,19.9,,6.6,10.15,,,
640,1/4 Chicken + Garlic Bread + Garlic Bread,Nandos,Lunch / Dinner,n,1008,54,96,46,,5,10.15,,,
641,1/4 Chicken + Garlic Bread + Coleslaw,Nandos,Lunch / Dinner,n,886,49,60,48,,5,10.15,,,
642,1/4 Chicken + Garlic Bread + Spicy Rice,Nandos,Lunch / Dinner,n,843,51,81,34,,8,10.15,,,
643,1/4 Chicken + Garlic Bread + Corn on the Cob,Nandos,Lunch / Dinner,n,790,53,70,33,,8,10.15,,,
644,1/4 Chicken + Garlic Bread + Mixed Leaf Salad,Nandos,Lunch / Dinner,n,659,48,50,30,,4,10.15,,,
645,1/4 Chicken + Garlic Bread + Spiced Grains & butternut Squash,Nandos,Lunch / Dinner,n,741,50,58.1,33.9,,6.6,10.15,,,
646,1/4 Chicken + Garlic Bread + Rainbow Slaw,Nandos,Lunch / Dinner,n,745,48.9,59.3,35.8,,5.4,10.15,,,
647,1/4 Chicken + Coleslaw + Coleslaw,Nandos,Lunch / Dinner,n,764,44,24,50,,5,10.15,,,
648,1/4 Chicken + Coleslaw + Spicy Rice,Nandos,Lunch / Dinner,n,721,46,45,36,,8,10.15,,,
649,1/4 Chicken + Coleslaw + Corn on the Cob,Nandos,Lunch / Dinner,n,668,48,34,35,,8,10.15,,,
650,1/4 Chicken + Coleslaw + Mixed Leaf Salad,Nandos,Lunch / Dinner,n,537,43,14,32,,4,10.15,,,
651,1/4 Chicken + Coleslaw + Spiced Grains & butternut Squash,Nandos,Lunch / Dinner,n,619,45,22.1,35.9,,6.6,10.15,,,
652,1/4 Chicken + Coleslaw + Rainbow Slaw,Nandos,Lunch / Dinner,n,623,43.9,23.3,37.8,,5.4,10.15,,,
653,1/4 Chicken + Corn on the Cob + Corn on the Cob,Nandos,Lunch / Dinner,n,572,52,44,20,,11,10.15,,,
654,1/4 Chicken + Corn on the Cob + Mixed Leaf Salad,Nandos,Lunch / Dinner,n,441,47,24,17,,7,10.15,,,
655,1/4 Chicken + Corn on the Cob + Spiced Grains & butternut Squash,Nandos,Lunch / Dinner,n,523,49,32.1,20.9,,9.6,10.15,,,
656,1/4 Chicken + Corn on the Cob + Rainbow Slaw,Nandos,Lunch / Dinner,n,527,47.9,33.3,22.8,,8.4,10.15,,,
657,1/4 Chicken + Mixed Leaf Salad + Mixed Leaf Salad,Nandos,Lunch / Dinner,n,310,42,4,14,,3,10.15,,,
658,1/4 Chicken + Mixed Leaf Salad + Spiced Grains & butternut Squash,Nandos,Lunch / Dinner,n,392,44,12.1,17.9,,5.6,10.15,,,
659,1/4 Chicken + Mixed Leaf Salad + Rainbow Slaw,Nandos,Lunch / Dinner,n,396,42.9,13.3,19.8,,4.4,10.15,,,
660,1/4 Chicken + Spiced Grains & butternut Squash + Spiced Grains & butternut Squash,Nandos,Lunch / Dinner,n,474,46,20.2,21.8,,8.2,10.15,,,
661,1/4 Chicken + Spiced Grains & butternut Squash + Rainbow Slaw,Nandos,Lunch / Dinner,n,478,44.9,21.4,23.7,,7,10.15,,,
662,1/4 Chicken + Rainbow Slaw + Rainbow Slaw,Nandos,Lunch / Dinner,n,482,43.8,22.6,25.6,,5.8,10.15,,,
663,3 Chicken Wings,Nandos,Lunch / Dinner,n,236,32,0,12,,1,3.95,,,
664,5 Chicken Wings,Nandos,Lunch / Dinner,n,393,53,0,20,,1,5.95,,,
665,10 Chicken Wings,Nandos,Lunch / Dinner,n,786,106,1,39,,3,10.95,,,
666,15 Chicken Wings,Nandos,Lunch / Dinner,n,1179,160,1,59,,4,13.95,,,
667,10 Wing Roulete,Nandos,Lunch / Dinner,n,842,107,4,44,,3,10.95,,,
668,Grilled Chicken Wrap,Nandos,Lunch / Dinner,n,537,37.3,61.5,14.8,,3.6,6.95,,,
669,Double Chicken Wrap,Nandos,Lunch / Dinner,n,674,65.9,61.6,17.3,,4,10.25,,,
670,The Great Imitator Wrap,Nandos,Lunch / Dinner,n,568,26.4,62.3,23.5,,5,6.95,,,
671,Sunset Burger,Nandos,Lunch / Dinner,n,682,54,42,31,,4,8.25,,,
672,Grilled Chicken Burger,Nandos,Lunch / Dinner,n,438,36,53,9,,3,6.95,,,
673,Grilled Chicken Pitta,Nandos,Lunch / Dinner,n,485,37,51,15,,4,6.95,,,
674,Double Grilled Chicken Burger,Nandos,Lunch / Dinner,n,576,64,53,12,,4,10.25,,,
675,Double Grilled Chicken Pitta,Nandos,Lunch / Dinner,n,623,65,51,17,,5,10.25,,,
676,Quinoa & Peri-Tomato Salad,Nandos,Lunch / Dinner,n,523,13,50.7,29.9,,7.3,8.25,,1,
677,Chicken Livers & Portuguese Roll,Nandos,Lunch / Dinner,n,556,39.5,50.1,21.3,,3.3,8.25,,,
678,Aioli Chicken Box,Leon,Lunch / Dinner,n,590,29,62,27,,4,6.99,,,
679,Chilli ChickenBOx,Leon,Lunch / Dinner,n,608,30,57,28,,4,7.29,,,
680,Satay Chicken Box,Leon,Lunch / Dinner,n,582,33,69,24,,6,7.49,,,
681,Korean Chicken Burger,Leon,Lunch / Dinner,n,399,27,35,16,,1,7.99,,,
682,Chargrilled Chicken Burger,Leon,Lunch / Dinner,n,432,35,40,17,,2,7.49,,,
683,Health & Hapiness Sushi Box,Itsu,Lunch / Dinner,n,544,26,68,18,,5,10.95,,,
684,Itsu Classics,Itsu,Lunch / Dinner,n,590,24,83,17,,5,10.95,,,
685,Veggie Sushi Coll,Itsu,Lunch / Dinner,n,588,9,99,16,,7,8.25,,,
686,Super Salmon Light Box,Itsu,Lunch / Dinner,n,400,17,60,9,,4,7.95,,,
687,Spicy Salmon Cru,Itsu,Lunch / Dinner,n,427,13,73,9,,3,7.95,,,
688,Salmon Teriyaki O,Itsu,Lunch / Dinner,n,391,13,73,6,,3,6.95,,,
689,Chicken Teriyaki,Itsu,Lunch / Dinner,n,408,23,62,7,,4,6.95,,,
690,The Sesame Chicken,Itsu,Lunch / Dinner,n,397,36,26,13,,13,8.75,,,
691,Salmon Superfood,Itsu,Lunch / Dinner,n,472,21,38,11,,9,8.95,,,
692,Spicy Veg Bao'Buns,Itsu,Lunch / Dinner,n,272,10,45,4,,3,6.95,,,
693,Paradise Rice,Itsu,Side,n,278,9,43,6,,9,3.25,,,
694,Edamame,Itsu,Side,n,136,15,6,2,,19,3.25,,,
695,Salmon California Rolls,Itsu,Lunch / Dinner,n,334,9,39,15,,4,6.25,,,
696,Avo Baby Rolls,Itsu,Lunch / Dinner,n,361,5,46,3,,4,5.5,,,
697,Salmon Sushi Nigiri,Itsu,Lunch / Dinner,n,299,14,48,5,,3,6.25,,,
698,Salmon Sashimi,Itsu,Lunch / Dinner,n,240,24,2,15,,4,6.95,,,
699,Salmon Full House,Itsu,Lunch / Dinner,n,637,34,82,18,,8,10.95,,,
700,Sushi Festival,Itsu,Lunch / Dinner,n,518,21,81,11,,4,8.95,,,
701,Chicken Teriyaki Rice Box,Itsu,Lunch / Dinner,n,521,32,61,13,,18,7.95,,,
702,Spicy Tuna Dragon Roll,Itsu,Lunch / Dinner,n,320,12,43,10,,3,6.95,,,
703,Salmon & Avo Dragon Roll,Itsu,Lunch / Dinner,n,423,12,42,21,,10,6.75,,,
704,Veggie Dragon Roll,Itsu,Lunch / Dinner,n,357,6,46,15,,9,6.5,,,
705,Chargrilled Chilli Udon Noodles,Itsu,Lunch / Dinner,n,552,38,35,14,,8,8.25,,,
706,Chargrilled Chicken Udon Noodles,Itsu,Lunch / Dinner,n,517,36,60,13,,7,8.25,,,
707,Veggie Gyoza Noodle,Itsu,Lunch / Dinner,n,440,18,74,6,,6,7.95,,,
708,l'thai Noodle Bowl,Itsu,Lunch / Dinner,n,480,12,57,21,,5,7.25,,,
709,Firecracker Chicken Rice Bowl,Itsu,Lunch / Dinner,n,504,39,50,13,,14,8.25,,,
710,Klean'katsu Rice Bowl,Itsu,Lunch / Dinner,n,574,29,64,20,,10,8.25,,,
711,Thai Chicken Rice Bowl,Itsu,Lunch / Dinner,n,629,36,53,27,,17,8.25,,,
712,Korean Bbq Chicken Bowl,Itsu,Lunch / Dinner,n,541,40,51,14,,23,8.25,,,
